x,discriminacao,referencia,valor,data_atualizacao
JF,Justiça Federal,limite_2021,11731.8,2023-01-15T07:56:40.544527
JF,Justiça Federal,limite_2022,12926.1,2023-01-15T07:56:40.544527
JF,Justiça Federal,limite_2023,13841.6,2023-01-15T07:56:40.544527
JM,Justiça Militar da União,base_2016,457.9,2023-01-15T07:56:40.544527
JM,Justiça Militar da União,limite_2017,490.9,2023-01-15T07:56:40.544527
JM,Justiça Militar da União,limite_2018,505.3,2023-01-15T07:56:40.544527
JM,Justiça Militar da União,limite_2019,524.3,2023-01-15T07:56:40.544527
JM,Justiça Militar da União,limite_2020,546.9,2023-01-15T07:56:40.544527
JM,Justiça Militar da União,limite_2021,571.6,2023-01-15T07:56:40.544527
JM,Justiça Militar da União,limite_2022,629.8,2023-01-15T07:56:40.544527
JM,Justiça Militar da União,limite_2023,674.4,2023-01-15T07:56:40.544527
JE,Justiça Eleitoral,base_2016,6192.7,2023-01-15T07:56:40.544527
JE,Justiça Eleitoral,limite_2017,6638.6,2023-01-15T07:56:40.544527
JE,Justiça Eleitoral,limite_2018,6834.4,2023-01-15T07:56:40.544527
JE,Justiça Eleitoral,limite_2019,7090.7,2023-01-15T07:56:40.544527
JE,Justiça Eleitoral,limite_2020,7396.3,2023-01-15T07:56:40.544527
JE,Justiça Eleitoral,limite_2021,7730.6,2023-01-15T07:56:40.544527
JE,Justiça Eleitoral,limite_2022,8517.6,2023-01-15T07:56:40.544527
JE,Justiça Eleitoral,limite_2023,9121,2023-01-15T07:56:40.544527
JT,Justiça do Trabalho,base_2016,16020.8,2023-01-15T07:56:40.544527
JT,Justiça do Trabalho,limite_2017,17174.3,2023-01-15T07:56:40.544527
JT,Justiça do Trabalho,limite_2018,17681,2023-01-15T07:56:40.544527
JT,Justiça do Trabalho,limite_2019,18344,2023-01-15T07:56:40.544527
JT,Justiça do Trabalho,limite_2020,19134.6,2023-01-15T07:56:40.544527
JT,Justiça do Trabalho,limite_2021,19999.5,2023-01-15T07:56:40.544527
JT,Justiça do Trabalho,limite_2022,22035.5,2023-01-15T07:56:40.544527
JT,Justiça do Trabalho,limite_2023,23596.3,2023-01-15T07:56:40.544527
JDFT,Justiça do Distrito Federal e dos Territórios,base_2016,2263.3,2023-01-15T07:56:40.544527
JDFT,Justiça do Distrito Federal e dos Territórios,limite_2017,2426.3,2023-01-15T07:56:40.544527
JDFT,Justiça do Distrito Federal e dos Territórios,limite_2018,2497.8,2023-01-15T07:56:40.544527
JDFT,Justiça do Distrito Federal e dos Territórios,limite_2019,2591.5,2023-01-15T07:56:40.544527
JDFT,Justiça do Distrito Federal e dos Territórios,limite_2020,2703.2,2023-01-15T07:56:40.544527
JDFT,Justiça do Distrito Federal e dos Territórios,limite_2021,2825.4,2023-01-15T07:56:40.544527
JDFT,Justiça do Distrito Federal e dos Territórios,limite_2022,3113,2023-01-15T07:56:40.544527
JDFT,Justiça do Distrito Federal e dos Territórios,limite_2023,3333.5,2023-01-15T07:56:40.544527
CNJ,Conselho Nacional de Justiça,base_2016,165.5,2023-01-15T07:56:40.544527
CNJ,Conselho Nacional de Justiça,limite_2017,177.4,2023-01-15T07:56:40.544527
CNJ,Conselho Nacional de Justiça,limite_2018,182.7,2023-01-15T07:56:40.544527
CNJ,Conselho Nacional de Justiça,limite_2019,189.5,2023-01-15T07:56:40.544527
CNJ,Conselho Nacional de Justiça,limite_2020,197.7,2023-01-15T07:56:40.544527
CNJ,Conselho Nacional de Justiça,limite_2021,206.6,2023-01-15T07:56:40.544527
CNJ,Conselho Nacional de Justiça,limite_2022,227.7,2023-01-15T07:56:40.544527
CNJ,Conselho Nacional de Justiça,limite_2023,243.8,2023-01-15T07:56:40.544527
,IV. Defensoria Pública da União,base_2016,459.7,2023-01-15T07:56:40.544527
,IV. Defensoria Pública da União,limite_2017,492.8,2023-01-15T07:56:40.544527
,IV. Defensoria Pública da União,limite_2018,507.4,2023-01-15T07:56:40.544527
,IV. Defensoria Pública da União,limite_2019,526.4,2023-01-15T07:56:40.544527
,IV. Defensoria Pública da União,limite_2020,549.1,2023-01-15T07:56:40.544527
,IV. Defensoria Pública da União,limite_2021,573.9,2023-01-15T07:56:40.544527
,IV. Defensoria Pública da União,limite_2022,632.3,2023-01-15T07:56:40.544527
,IV. Defensoria Pública da União,limite_2023,677.1,2023-01-15T07:56:40.544527
,V. Ministério Público da União,base_2016,5544.3,2023-01-15T07:56:40.544527
,V. Ministério Público da União,limite_2017,5943.5,2023-01-15T07:56:40.544527
,V. Ministério Público da União,limite_2018,6118.8,2023-01-15T07:56:40.544527
,V. Ministério Público da União,limite_2019,6348.3,2023-01-15T07:56:40.544527
,V. Ministério Público da União,limite_2020,6621.9,2023-01-15T07:56:40.544527
,V. Ministério Público da União,limite_2021,6921.2,2023-01-15T07:56:40.544527
,V. Ministério Público da União,limite_2022,7625.8,2023-01-15T07:56:40.544527
,V. Ministério Público da União,limite_2023,8165.9,2023-01-15T07:56:40.544527
MPU,Ministério Público da União,base_2016,5474,2023-01-15T07:56:40.544527
MPU,Ministério Público da União,limite_2017,5868.1,2023-01-15T07:56:40.544527
MPU,Ministério Público da União,limite_2018,6041.2,2023-01-15T07:56:40.544527
MPU,Ministério Público da União,limite_2019,6267.8,2023-01-15T07:56:40.544527
MPU,Ministério Público da União,limite_2020,6537.9,2023-01-15T07:56:40.544527
MPU,Ministério Público da União,limite_2021,6833.4,2023-01-15T07:56:40.544527
MPU,Ministério Público da União,limite_2022,7529.1,2023-01-15T07:56:40.544527
MPU,Ministério Público da União,limite_2023,8062.4,2023-01-15T07:56:40.544527
CNMP,Conselho Nacional do Ministério Público,base_2016,70.3,2023-01-15T07:56:40.544527
CNMP,Conselho Nacional do Ministério Público,limite_2017,75.4,2023-01-15T07:56:40.544527
CNMP,Conselho Nacional do Ministério Público,limite_2018,77.6,2023-01-15T07:56:40.544527
CNMP,Conselho Nacional do Ministério Público,limite_2019,80.5,2023-01-15T07:56:40.544527
CNMP,Conselho Nacional do Ministério Público,limite_2020,84,2023-01-15T07:56:40.544527
CNMP,Conselho Nacional do Ministério Público,limite_2021,87.8,2023-01-15T07:56:40.544527
CNMP,Conselho Nacional do Ministério Público,limite_2022,96.7,2023-01-15T07:56:40.544527
CNMP,Conselho Nacional do Ministério Público,limite_2023,103.6,2023-01-15T07:56:40.544527
VI. TOTAL,"1.222.309,3",base_2016,1310315.6,2023-01-15T07:56:40.544527
VI. TOTAL,"1.222.309,3",limite_2017,1348969.9,2023-01-15T07:56:40.544527
VI. TOTAL,"1.222.309,3",limite_2018,1399556.3,2023-01-15T07:56:40.544527
VI. TOTAL,"1.222.309,3",limite_2019,1459877.1,2023-01-15T07:56:40.544527
VI. TOTAL,"1.222.309,3",limite_2020,1525863.6,2023-01-15T07:56:40.544527
VI. TOTAL,"1.222.309,3",limite_2021,1681196.5,2023-01-15T07:56:40.544527
VI. TOTAL,"1.222.309,3",limite_2022,1945279.8,2023-01-15T07:56:40.544527
VI. TOTAL,"1.222.309,3",limite_2023,NA,2023-01-15T07:56:40.544527
